A0,A1,A2,A3,A4,A5,A6,A7,C,Z,EQ,NEG,OVR,SWP,IRQ,ENABLE,   REGA-EIN,REGA-EOUT,REGB-EIN,REGB-EOUT,REGC-EIN,REGC-EOUT,REGS1-EIN,REGS1-EOUT,REGS2-EIN,REGS2-EOUT,REGF1-EIN,REGF1-EOUT,REGF2-EIN,REGF2-EOUT,PC-EIN,ROM-EDOUT,MEM-EIN,MEM-EOUT,MEMAL-EIN,MEMAH-EIN,STK-EOUT,ROM-EAOUT,PC-EOUT,RST,S0,S1,S2,S3,P0,P1,P2,PG,IV-EIN,IV-EOUT,SPARE1,SPARE2,SPARE3,SPARE4,INC,HALT
#   0 - NULL
0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0 ,0  ,0  ,0  ,0  ,1     ,   0       ,0        ,0       ,0        ,0       ,0        ,0        ,0         ,0         ,0        ,0        ,0         ,0        ,0         ,0     ,0        ,0      ,0       ,0        ,0        ,0       ,0        ,0      ,0  ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0     ,0      ,0     ,0     ,0     ,0     ,0  ,0
#   1 - MOV R,M 
1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0 ,0  ,0  ,0  ,0  ,1     ,   0       ,0        ,0       ,0        ,0       ,0        ,0        ,0         ,0         ,0        ,0        ,0         ,0        ,0         ,0     ,1        ,1      ,0       ,0        ,0        ,0       ,0        ,0      ,0  ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0     ,0      ,0     ,0     ,0     ,0     ,0  ,0
#   2 - MOV R,MAL
0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0 ,0  ,0  ,0  ,0  ,1     ,   0       ,0        ,0       ,0        ,0       ,0        ,0        ,0         ,0         ,0        ,0        ,0         ,0        ,0         ,0     ,1        ,0      ,0       ,1        ,0        ,0       ,0        ,0      ,0  ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0     ,0      ,0     ,0     ,0     ,0     ,0  ,0
#   3 - MOV R,MAH
1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0 ,0  ,0  ,0  ,0  ,1     ,   0       ,0        ,0       ,0        ,0       ,0        ,0        ,0         ,0         ,0        ,0        ,0         ,0        ,0         ,0     ,1        ,0      ,0       ,0        ,1        ,0       ,0        ,0      ,0  ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0     ,0      ,0     ,0     ,0     ,0     ,0  ,0
#   4 - MOV R,A
0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0,0,0 ,0  ,0  ,0  ,0  ,1     ,   1       ,0        ,0       ,0        ,0       ,0        ,0        ,0         ,0         ,0        ,0        ,0         ,0        ,0         ,0     ,1        ,0      ,0       ,0        ,0        ,0       ,0        ,0      ,0  ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0     ,0      ,0     ,0     ,0     ,0     ,0  ,0
#   5 - MOV R,B
1 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0,0,0 ,0  ,0  ,0  ,0  ,1     ,   0       ,0        ,1       ,0        ,0       ,0        ,0        ,0         ,0         ,0        ,0        ,0         ,0        ,0         ,0     ,1        ,0      ,0       ,0        ,0        ,0       ,0        ,0      ,0  ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0     ,0      ,0     ,0     ,0     ,0     ,0  ,0

"MOV R,S1",6,00000110,6,Move value in current ROM address to REG-S1,ROM,REG-S1,0x40,0x80,0x0,0x1,0x0,,,,,,,1,,,,,,,,,1,,,,,,,,,0,0,0,1   ,,,,,,,,,,,
"MOV R,S2",7,00000111,7,Move value in current ROM address to REG-S2,ROM,REG-S2,0x0,0x81,0x0,0x1,0x0,,,,,,,,,1,,,,,,,1,,,,,,,,,0,0,0,1   ,,,,,,,,,,,
"MOV R,IV",8,00001000,8,Move value in current ROM address to REG-IV,ROM,REG-IV,0x0,0x80,0x0,0x1,0x1,,,,,,,,,,,,,,,,1,,,,,,,,,0,0,0,1   ,,,1,,,,,,,,
,9,00001001,9,,,,0x0,0x0,0x0,0x0,0x0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,00001010,A,,,,0x0,0x0,0x0,0x0,0x0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11,00001011,B,,,,0x0,0x0,0x0,0x0,0x0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12,00001100,C,,,,0x0,0x0,0x0,0x0,0x0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13,00001101,D,,,,0x0,0x0,0x0,0x0,0x0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14,00001110,E,,,,0x0,0x0,0x0,0x0,0x0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HALT,15,00001111,F,Halts the processor,,,0x0,0x0,0x0,0x0,0x80,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,1,
"MOV M,PC",16,00010000,10,Move value in MEM pointed to by MEMAH and MEMAL to PC - This does a jump,MEM,PC,0x0,0x40,0x2,0x6,0x0,,,,,,,,,,,,,,,1,,,1,,,,,,,JMP    ,,,,,,,,,,,
"MOV M,A",17,00010001,11,Move value in MEM pointed to by MEMAH and MEMAL to REG-A,MEM,REG-A,0x1,0x0,0x2,0x1,0x0,1,,,,,,,,,,,,,,,,,1,,,,,,,1,0,0,0,0,0,0  ,,,,,,,,,,,
"MOV M,B",18,00010010,12,Move value in MEM pointed to by MEMAH and MEMAL to REG-B,MEM,REG-B,0x4,0x0,0x2,0x1,0x0,,,1,,,,,,,,,,,,,,,1,,,,,,,1,0,0,0,0,0,0  ,,,,,,,,,,,
"MOV M,S1",19,00010011,13,Move value in MEM pointed to by MEMAH and MEMAL to REG-S1,MEM,REG-S1,0x40,0x0,0x2,0x1,0x0,,,,,,,1,,,,,,,,,,,1,,,,,,,1,0,0,0,0,0,0  ,,,,,,,,,,,
"MOV M,S2",20,00010100,14,Move value in MEM pointed to by MEMAH and MEMAL to REG-S1,MEM,REG-S2,0x0,0x1,0x2,0x1,0x0,,,,,,,,,1,,,,,,,,,1,,,,,,,1,0,0,0,0,0,0  ,,,,,,,,,,,
"MOV M,IV",21,00010101,15,Move value in MEM pointed to by MEMAH and MEMAL to REG-IV,MEM,REG-IV,0x0,0x0,0x2,0x1,0x1,,,,,,,,,,,,,,,,,,1,,,,,,,1,0,0,0,0,0,0  ,,,1,,,,,,,,
,22,00010110,16,,,,0x0,0x0,0x0,0x1,0x0,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,,,,,,,,,,,
