###############
A7,A6,A5,A4,A3,A2,A1,A0,C,Z,EQ,NEG,OVR,SWP,IRQ,ENABLE,REGA-EIN,REGA-EOUT,REGB-EIN,REGB-EOUT,REGC-EIN,REGC-EOUT,REGS1-EIN,REGS1-EOUT,REGS2-EIN,REGS2-EOUT,REGF1-EIN,REGF1-EOUT,REGF2-EIN,REGF2-EOUT,PC-EIN,ROM-EDOUT,MEM-EIN,MEM-EOUT,MEMAL-EIN,MEMAH-EIN,STK-EOUT,ROM-EAOUT,PC-EOUT,RST,S3,S2,S1,S0,P2,P1,P0,PG,IV-EIN,IV-EOUT,SPARE1,SPARE2,SPARE3,SPARE4,INC,HALT
#   0 - NULL
0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0 ,0  ,0  ,0  ,0  ,1     ,0       ,0        ,0       ,0        ,0       ,0        ,0        ,0         ,0         ,0        ,0        ,0         ,0        ,0         ,0     ,0        ,0      ,0       ,0        ,0        ,0       ,0        ,0      ,0  ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0     ,0      ,0     ,0     ,0     ,0     ,0  ,0
0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1,0,0 ,0  ,0  ,0  ,0  ,1     ,0       ,0        ,0       ,0        ,0       ,0        ,0        ,0         ,0         ,0        ,0        ,0         ,0        ,0         ,0     ,0        ,0      ,0       ,0        ,0        ,0       ,0        ,0      ,0  ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0     ,0      ,0     ,0     ,0     ,0     ,0  ,0
0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,1,0 ,0  ,0  ,0  ,0  ,1     ,0       ,0        ,0       ,0        ,0       ,0        ,0        ,0         ,0         ,0        ,0        ,0         ,0        ,0         ,0     ,0        ,0      ,0       ,0        ,0        ,0       ,0        ,0      ,0  ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0     ,0      ,0     ,0     ,0     ,0     ,0  ,0
0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,1 ,0  ,0  ,0  ,0  ,1     ,0       ,0        ,0       ,0        ,0       ,0        ,0        ,0         ,0         ,0        ,0        ,0         ,0        ,0         ,0     ,0        ,0      ,0       ,0        ,0        ,0       ,0        ,0      ,0  ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0     ,0      ,0     ,0     ,0     ,0     ,0  ,0
0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0 ,1  ,0  ,0  ,0  ,1     ,0       ,0        ,0       ,0        ,0       ,0        ,0        ,0         ,0         ,0        ,0        ,0         ,0        ,0         ,0     ,0        ,0      ,0       ,0        ,0        ,0       ,0        ,0      ,0  ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0     ,0      ,0     ,0     ,0     ,0     ,0  ,0
0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0 ,0  ,1  ,0  ,0  ,1     ,0       ,0        ,0       ,0        ,0       ,0        ,0        ,0         ,0         ,0        ,0        ,0         ,0        ,0         ,0     ,0        ,0      ,0       ,0        ,0        ,0       ,0        ,0      ,0  ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0     ,0      ,0     ,0     ,0     ,0     ,0  ,0
0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0 ,0  ,0  ,1  ,0  ,1     ,0       ,0        ,0       ,0        ,0       ,0        ,0        ,0         ,0         ,0        ,0        ,0         ,0        ,0         ,0     ,0        ,0      ,0       ,0        ,0        ,0       ,0        ,0      ,0  ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0     ,0      ,0     ,0     ,0     ,0     ,0  ,0
0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0 ,0  ,0  ,0  ,0  ,0     ,0       ,0        ,0       ,0        ,0       ,0        ,0        ,0         ,0         ,0        ,0        ,0         ,0        ,0         ,0     ,0        ,0      ,0       ,0        ,0        ,0       ,0        ,0      ,0  ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0     ,0      ,0     ,0     ,0     ,0     ,0  ,0
#   1 - MOV R,M 
